,Rewards,Steps,WaitTime
925,-272.95,119,13.38
926,-1074.43,117,14.19
927,-675.09,143,14.87
928,-578.05,139,15.45
929,-384.16,135,17.26
930,-432.25,147,15.76
931,-473.08,149,13.65
932,-780.0,138,15.68
933,-227.49,142,14.53
934,-379.27,141,16.1
935,-531.56,143,16.41
936,-384.63,135,16.33
937,-440.35,149,17.46
938,-393.4,147,19.57
939,-477.52,161,15.12
940,-479.02,125,15.77
941,-335.33,150,16.99
942,-527.34,129,15.72
943,-382.58,131,16.24
944,-725.06,125,14.95
945,-524.96,134,14.9
946,-32.3,166,15.99
947,-383.04,162,16.26
948,-423.22,131,13.89
949,-327.77,139,15.03
950,-231.08,131,16.59
951,-82.71,139,15.71
952,-677.54,139,15.39
953,-677.42,130,14.52
954,-332.27,156,16.78
955,-532.23,148,16.51
956,-230.92,134,16.03
957,-484.94,141,16.29
958,-523.86,122,14.45
959,-323.39,133,14.27
960,-525.76,122,14.91
961,-278.16,152,15.61
962,-378.83,128,15.85
963,-681.27,123,16.07
964,-525.28,131,14.45
965,-331.59,144,16.17
966,-183.7,150,17.59
967,-531.83,126,16.86
968,-424.8,139,14.36
969,-574.55,132,13.65
970,-240.35,156,17.51
971,-324.59,148,14.06
972,-329.2,146,16.24
973,-233.29,135,16.92
974,-276.96,135,15.5
975,-379.63,147,15.76
976,-285.46,160,16.93
977,-523.61,131,14.08
978,-671.3,125,12.85
979,-129.27,145,15.81
980,-476.05,130,14.79
981,-777.19,132,15.25
982,-429.89,125,15.78
983,-324.47,138,13.89
984,-384.47,135,16.99
985,-273.91,131,14.2
986,15.99,153,16.85
987,-329.54,142,15.41
988,-480.47,154,16.2
989,-984.59,149,16.95
990,-284.87,139,17.24
991,-83.27,148,16.67
992,-727.03,141,14.62
993,-381.93,145,14.82
994,-433.2,133,16.28
995,-324.56,141,14.0
996,-582.07,127,16.0
997,-322.68,121,14.43
998,-573.83,151,14.62
999,-874.5,122,13.99
1000,-278.51,149,15.62
1001,-234.54,150,16.69
1002,-575.42,126,13.75
1003,-424.74,133,15.02
1004,-228.17,133,15.16
1005,-378.67,141,15.87
1006,-427.4,126,15.15
1007,-480.43,141,15.75
1008,-379.0,123,15.58
1009,-671.41,146,13.58
1010,-482.57,138,17.14
1011,-431.48,128,15.91
1012,-429.92,130,16.4
1013,-431.12,134,15.54
1014,-428.08,140,15.98
1015,-329.84,138,15.53
1016,-574.73,137,14.53
1017,-277.04,127,14.61
1018,-285.77,138,17.44
1019,-189.04,158,18.82
1020,-529.72,127,16.13
1021,-535.0,134,15.8
1022,-432.76,138,16.61
1023,-525.82,123,15.48
1024,-673.2,139,13.86
1025,-734.17,168,16.73
1026,-231.53,138,15.89
1027,-837.85,138,17.92
1028,-672.55,119,14.08
1029,-471.83,126,13.19
1030,-372.5,122,13.15
1031,-578.11,130,15.47
1032,-234.56,133,17.67
1033,-385.37,131,16.85
1034,-527.55,125,15.2
1035,-477.03,131,14.89
1036,-930.49,140,15.27
1037,-335.98,149,16.84
1038,-473.32,141,14.2
1039,-277.7,131,15.46
1040,-125.17,136,15.3
1041,-621.71,133,13.65
1042,-485.43,133,15.77
1043,-574.23,139,14.89
1044,-675.45,129,14.68
1045,-283.4,142,16.07
1046,-183.48,136,16.43
1047,-426.92,123,14.3
1048,-532.91,138,16.48
1049,-374.33,143,14.28
1050,-473.3,120,14.33
1051,-475.85,122,14.26
1052,-683.95,146,16.89
1053,-573.75,118,13.81
1054,-685.52,148,17.35
1055,-479.12,139,15.99
1056,-478.53,135,16.16
1057,-675.85,122,14.56
1058,-327.87,133,14.56
1059,-475.6,131,15.21
1060,-636.16,129,18.02
1061,-377.02,142,15.66
1062,-870.88,126,13.43
1063,-328.13,153,14.73
1064,-325.63,128,14.83
