,Rewards,Steps,WaitTime
437,-2422.028481717964,309,74.51
438,-1475.3108214773445,360,69.42
439,-2303.804814682966,302,71.17
440,-2625.71335922378,303,71.63
441,-1673.0555486483886,307,63.55
442,-1895.026535290091,286,68.14
443,-1097.1979203780636,299,69.14
444,-2127.8349298570597,297,74.24
445,-2138.3006484693888,295,75.8
446,-996.5536520357724,344,71.56
447,-2413.3350144302826,331,66.79
448,-2437.7364847681033,321,73.73
449,-1744.9055754676604,292,56.12
450,-2357.6743513185925,244,53.72
451,-2494.0238248729224,291,66.84
452,-1419.1773727635039,340,69.54
453,-1456.829952384071,332,68.48
454,-1525.7625235556989,334,75.64
455,-2339.532333945331,278,66.59
456,-2125.743723876867,334,73.79
457,-1300.3288510757907,326,74.45
458,-3010.97665721921,297,66.66
459,-2225.9622954300794,303,55.69
460,-2125.9241185529063,273,53.14
461,-3986.3670015326998,245,58.27
462,-3571.6606879202823,293,64.95
463,-1603.5548091349074,305,68.52
464,-1290.7619377703245,330,68.43
465,-3171.093794098353,273,64.46
466,-2166.6755229804035,332,80.47
467,-1811.3932793119902,322,79.75
468,-1924.9693907336375,315,70.12
469,-2280.657298855008,319,67.93
470,-2627.8362609268793,302,69.76
471,-1865.5722220329772,349,65.56
472,-1573.113590847178,293,66.59
473,-1606.338584822553,287,71.44
474,-2264.2904346222467,283,62.56
475,-1099.1465306625798,306,69.49
476,-1254.2356151689905,296,76.86
477,-2284.047535477458,303,69.56
478,-1995.268700561979,283,63.65
479,-1693.8266518671894,283,64.09
480,-735.4366697622768,333,78.24
481,-2708.755227222052,315,69.69
482,-1374.9907145452164,291,67.58
483,-1888.0409281533662,288,60.82
484,-2215.3904739657646,344,72.83
485,-2183.7942734281096,292,67.85
486,-2408.001037328039,286,66.63
487,-1270.9373975424066,292,66.55
488,-1687.5923881109695,289,68.19
489,-2697.7116183293197,326,74.94
490,-1802.4443005710639,320,71.93
491,-1670.9518092267529,312,67.06
492,-989.7719941883961,272,62.99
493,-999.9089065429072,317,68.94
494,-3158.1917207636607,312,79.48
495,-2562.4818780176547,296,61.61
496,-2385.248757695865,318,68.5
497,-1455.9532732345147,344,57.25
498,-2380.1003422399763,294,64.53
499,-1772.639715879214,371,79.03
500,-1603.9697825617975,301,73.93
501,-1472.9046362496842,292,65.12
502,-2205.3941031092613,331,67.36
503,-1829.7826510253738,302,70.55
504,-1817.4112460152726,329,70.46
505,-1773.8409717664433,276,63.08
506,-2123.150196415145,316,75.24
507,-1971.4318761585016,289,63.95
508,-2117.051673556059,287,67.66
509,-1582.1780209705053,293,73.92
510,-2254.130537660187,343,83.29
511,-1719.3671162617331,309,74.44
512,-2086.602933401342,310,69.61
513,-2522.189244076553,311,72.05
514,-1914.6770971701317,278,67.11
515,-1240.4533920188005,296,72.75
516,-1032.4230307702064,341,78.01
517,-2009.4142675156422,280,69.88
518,-1658.6431433592204,265,60.96
519,-1903.5124200922155,341,73.93
520,-2966.5546267302607,319,60.8
521,-1291.4127125474688,339,73.25
522,-2607.7894309201815,279,68.63
523,-2293.5942804759766,262,62.24
524,-1498.501212000727,300,69.22
525,-1943.7407469380084,294,63.21
526,-1361.582117384881,329,63.27
527,-2063.7376073782243,289,62.82
528,-1937.856033317044,334,77.36
529,-2089.1984361914338,289,76.54
530,-1178.5958437420572,328,68.0
531,-1676.8043206179543,289,64.44
532,-3522.424137785428,283,61.46
533,-2787.109630798667,270,70.47
534,-1603.8715783698021,305,73.6
535,-1601.2102817503348,300,68.3
536,-2101.8375844746606,276,67.42
537,-1812.5866434794893,271,71.05
538,-2073.7109309820107,294,68.45
539,-2342.322265286197,252,57.99
540,-1654.5241998187385,305,60.72
541,-2004.5366467418105,292,67.63
542,-1900.5229231966216,353,60.68
543,-3038.294187566575,254,51.29
544,-2145.0672971246145,281,65.72
545,-2703.4780079383027,295,69.26
546,-1915.4557035417456,314,77.72
547,-1050.4619111462018,336,74.84
548,-807.278580885092,307,74.3
549,-2662.1261946009326,283,68.64
550,-2135.980409238627,387,72.84
551,-2722.37174242431,319,78.49
552,-1410.9228318552287,337,70.38
553,-1797.433197535042,296,66.38
554,-2386.5268407898348,299,61.6
555,-1918.4845142941258,270,54.47
556,-2194.217113173989,288,67.01
557,-2371.100340555904,274,63.94
558,-2897.766944224634,286,67.04
559,-3007.693567184996,314,70.36
560,-2031.4862315259377,293,53.52
561,-2447.4990480838437,293,64.02
562,-2597.7984756912642,299,69.69
563,-2219.276768569579,294,76.7
564,-1203.2241649810796,319,71.49
565,-2904.545718502039,326,67.82
566,-2581.532297199494,303,70.38
567,-2342.0369142077343,275,59.73
568,-1568.4654391865083,298,62.88
569,-2233.0454324448633,313,83.7
570,-1476.4950074762874,286,59.42
571,-1875.2038638762037,292,65.27
572,-971.1375547081745,301,60.1
573,-1413.1307627827448,355,69.43
574,-3485.977258111303,288,66.03
575,-2703.053814356879,309,70.23
576,-2690.396383976811,306,63.75
577,-1188.9057977553325,304,60.27
578,-2277.5504921337088,263,64.33
579,-1175.3855257998778,301,62.16
580,-1778.3529113963293,315,63.04
581,-1396.9190382143604,308,70.28
582,-2306.5050481005655,298,70.86
583,-1420.8864556059987,310,72.96
584,-1377.4258799669299,304,66.54
585,-1161.792630944432,321,66.42
586,-1130.7033779809092,340,80.4
587,-2321.1710008147966,284,75.49
588,-1631.8972360787914,309,72.09
589,-1454.1858315419925,329,63.72
590,-1323.886567764003,282,71.37
591,-1816.912625830033,328,76.9
592,-892.9726509365121,272,63.68
593,-2690.679365165185,295,68.09
594,-1075.0542366055843,296,68.36
595,-1111.0988853706692,341,76.16
596,-1984.4322354365565,279,65.51
597,-3580.611673955997,315,77.36
598,-547.3555890368456,364,87.87
599,-1854.9729362434682,268,55.81
600,-1367.7688242443098,347,62.46
601,-2274.5839500915517,359,65.37
602,-3710.29694205899,277,67.74
603,-2679.0911273421366,257,64.35
604,-1101.894917661034,310,81.56
605,-2122.602134328679,296,71.57
606,-2278.2140249227837,273,64.27
607,-2267.1236552150144,331,64.12
608,-1674.5574246190163,312,65.64
609,-2450.328780676173,306,60.31
610,-1708.6668633911167,285,66.63
611,-1870.2519762845216,358,87.88
612,-3341.431128580323,292,73.69
613,-1994.239307341534,300,64.89
614,-1323.894511985203,309,74.0
615,-2170.596475051354,260,64.36
616,-2324.4320579041946,334,74.4
617,-1735.079207806026,287,58.38
618,-1794.232228726373,271,62.68
619,-3064.6930971545808,315,69.51
620,-3265.8677531175454,256,55.32
621,-2021.4268694547666,292,70.75
622,-2113.7334349384987,307,72.45
623,-3616.6160988671613,286,68.09
624,-2515.213975492252,305,56.05
625,-1458.735347599269,304,57.1
626,-1779.3454612959445,330,62.94
627,-1810.5215103236715,325,73.54
628,-1168.1188646532432,291,64.35
629,-3288.638485927898,267,63.93
630,-647.0812099479355,274,58.42
631,-3690.74177488845,260,58.57
632,-1289.8556059333662,284,62.85
633,-2178.4964926678194,256,60.12
634,-1472.428069701614,306,68.5
635,-3340.29455116002,277,55.94
636,-1417.6807091458163,315,71.6
637,-2418.795071268485,254,54.73
638,-1900.9509560399267,274,67.35
639,-1718.1612453275081,303,74.3
640,-2773.2865508041446,282,64.54
641,-991.5392566332691,296,69.01
642,-1955.4169142816102,290,60.4
643,-1539.0147376648629,294,64.06
644,-1718.536267489902,308,67.36
645,-1569.1578788399993,317,69.5
646,-4009.2718187046885,275,71.04
647,-2420.7564843873556,303,75.8
648,-2020.8669568441555,302,72.44
649,-712.6492275831729,342,77.55
650,-1684.0767594262506,310,68.48
651,-1673.736356121138,317,59.98
652,-1216.3795428459898,299,71.31
653,-1811.4380159760667,310,67.07
654,-2698.163557625052,301,61.86
655,-1317.4035253023987,320,75.62
656,-2391.414066534173,285,66.48
657,-1633.451544096714,296,72.16
658,-1605.8052175483786,332,70.52
659,-2570.9569870032174,267,63.01
660,-1986.3070475828476,276,65.81
661,-1250.5900448418697,316,62.45
662,-2160.1944784156503,285,61.82
663,-2578.0771341871623,281,61.21
664,-1399.7202844087046,312,65.29
665,-1206.4565873717597,353,70.01
666,-1394.6594835297167,309,69.66
667,-1333.8621408348606,330,70.59
668,-1746.5405141236488,264,57.07
669,-2087.5815333718624,271,67.78
670,-2242.796825995415,332,54.16
671,-1328.34471881071,318,52.27
672,-1326.5761295472041,299,57.11
673,-898.121365487602,291,72.42
674,-1404.33629912041,308,68.76
675,-1745.6453595761582,342,72.56
676,-3185.7472214560003,252,62.82
677,-1463.6369319256232,376,68.11
678,-1986.627097222511,287,66.89
679,-2100.2148252566494,301,66.77
680,-1391.2891917202162,312,68.56
681,-1532.1922904539176,349,79.24
682,-3947.5408911427444,231,52.79
683,-1263.7399306978064,303,59.15
684,-2233.3871041326106,276,59.74
685,-1491.548832926245,278,64.09
686,-1723.5910893635037,304,67.64
687,-3073.5422314031402,285,64.17
688,-1981.3591765486794,265,63.82
689,-2981.9287966085235,281,60.02
690,-1156.6346375952253,295,65.22
691,-1157.9424002664446,291,61.35
692,-2520.0672323034883,279,72.13
693,-2287.4137072742606,276,64.67
694,-1703.034420219872,278,69.9
695,-2927.9580452871487,289,72.28
696,-2605.6305849287874,309,66.94
697,-1724.4296545956363,287,75.83
698,-1878.551626895337,276,61.32
699,-2183.065068565674,303,68.47
700,-2532.2874698388723,331,77.3
701,-1328.8821009564165,313,74.48
702,-1605.9038739146608,293,71.21
703,-1428.7100650657032,315,78.01
704,-1379.1904434883786,301,70.62
705,-3610.068660577117,279,71.11
706,-916.37062155716,351,78.11
707,-1268.0996010253716,290,62.97
708,-2376.6714918610237,278,54.65
709,-1004.5064245532438,318,70.0
710,-2282.3334925365434,309,66.48
711,-2180.009242565316,318,71.5
712,-2636.0105221868275,282,55.24
713,-1948.8247778366638,292,59.18
714,-2144.63956856056,244,58.52
715,-2258.320971419901,342,63.63
716,-2297.7378540305467,281,70.53
717,-1191.3571420499445,299,65.23
718,-1041.8811076327604,284,58.23
719,-1680.1873242823483,292,70.53
720,-1069.370030238303,276,67.4
721,-2326.550054296744,289,61.94
722,-1288.159498909025,280,68.84
723,-1581.832462625727,326,65.36
724,-1897.5084385286798,306,73.28
725,-2345.377269938211,355,76.49
726,-2242.7656392500476,300,64.79
727,-1377.1971322418403,308,66.82
728,-2851.1425174161395,295,70.46
729,-1980.9160085313729,281,63.85
730,-2412.0653277101205,297,70.2
731,-1887.394976017113,271,72.54
732,-3517.987494668863,324,73.66
733,-1050.1015243384377,310,78.08
734,-2017.245181731647,304,72.84
735,-1437.4806175302933,273,61.32
736,-582.959148533597,326,62.98
737,-957.924900441799,301,63.78
738,-1751.75679003734,316,61.62
739,-1491.7322375210197,292,74.76
740,-1084.1030717785936,310,72.97
741,-3259.215329964352,258,55.03
742,-3525.5763811155734,336,84.22
743,-3064.210038283871,290,67.82
744,-2537.940077303402,241,55.31
745,-2316.169663693591,280,65.31
746,-2465.472376421028,312,61.33
747,-1596.4882327344717,285,62.1
748,-2448.6749206758514,276,63.86
749,-2293.5635673133443,298,65.41
750,-2679.329831675316,282,59.08
751,-3069.0161293205692,260,61.8
752,-1628.8510346116773,302,65.88
753,-1091.601171447501,315,71.37
754,-2007.5712574008828,252,56.03
755,-1587.4642840456468,286,68.12
756,-3399.5158889647255,295,64.89
757,-2284.7074274742804,270,67.05
758,-1891.920092359239,336,63.22
759,-1584.6099985745957,294,66.86
760,-1058.5145441642037,299,60.51
761,-1480.797513810934,283,67.38
762,-3419.3933409859983,287,68.71
763,-2232.1335291104224,253,56.07
764,-3348.081109076279,276,58.43
765,-2445.084199036687,268,61.58
766,-1920.6419766487993,333,65.17
767,-1800.5391952671282,297,66.36
768,-2359.8967225284514,364,63.89
769,-2862.9351857341658,276,59.5
770,-898.5993478059197,293,69.04
771,-1170.8354471532432,274,67.35
772,-1447.7820323605642,283,63.05
773,-2190.0650858859517,267,65.35
774,-1628.5513600229942,360,85.86
775,-2928.0559824412157,296,72.39
776,-990.1865015984512,286,63.59
777,-1365.0636448292655,326,67.35
778,-2163.092404072652,294,63.69
779,-2437.2210791664584,239,57.8
780,-2588.645317564868,283,65.85
781,-1707.648864439532,306,66.02
782,-1346.945356788602,298,56.9
783,-1723.8691224281965,304,69.88
784,-1793.688904696295,318,68.69
785,-859.6202214215134,323,58.19
786,-2886.680783221689,298,71.89
787,-1701.5867206320265,347,70.05
788,-2487.989245033311,315,67.28
789,-1786.790875255174,316,74.74
